site_code_happel,site_code,port,lake_region
6R,,sturgeon bay,NW
1R,fp,fox point,SW
1S,wfb,whitefish bay,SW
2R,hp,highland park,SW
2S,,dead river,SW
3R,,calumet,SW
3S,,michigan city,SE
4R,,saugatuck,SE
4S,,muskegon,SE
5R,,arcadia,NW
,,atwater,SW
,,door county,NW
,,east reef,SW
,,east shore of l michigan,SE
,,east shored of l michigan,SE
,,fox point offshore,SW
gc,,green can,SW
,,linnwood,
,,milwaukee,SW
,,milwaukee offshore,SW
,,milwaukee south,SW
,,north manitou,NE
,,northeast reef,NE
,,port washington,SW
,,pyramid point,NE
,,sheboygan,SW
,,sheboygan nearshore,SW
,,sheboygan offshore,SW
we-reef,,sheboygan reef,SE
,,south manitou 2,NW
,,wind point,SW
,,ludington,NE
,,manitowoc,NW
,,midlake,SW
,,racine,SW
,,deep station,SE
,,saugatuk,SE
,,st joseph,SE
,,waukegan,SW
,,mckinley marina,SW
,,east chicago,SW
,,kenosha,SW
,,frankfort,NE
,,manistee,NE
,,algoma,NW
,,n1,
,,n2,
,,n3,
,,two rivers,NW
,,kewaunee,NW
,,grand haven,SW
,,holland,SE
,,charlevoix,NE
,,cardy's reef,NW
,,nmf,
,,burns harbor,SW
,,elk rapids,NE
,,south haven,SE
,,little traverse bay,NE
,,clay banks,NW
,,pentwater,SE
,,white,SE