compartment,taxon,taxon_specific,taxon_code
pom,pom,pom,pom
phytoplankton,green algae,green algae,phy
phytoplankton,picoplankton,picoplankton,phy
macro-alga,cladophora,cladophora,alg
zooplankton,rotifer,rotifer,zop
zooplankton,copepods,copepods,zop
zooplankton,bythotrephes,bythotrephes,byt
zooplankton,mysis,mysis,mys
zooplankton,hemimysis,hemimysis adult,ha
zooplankton,hemimysis,hemimysis juvenile,hj
zooplankton,zooplankton,zooplankton_63um,zop63
zooplankton,zooplankton,zooplankton_153um,zop153
zooplankton,zooplankton,zooplankton,zop
benthic inverts,bentic inverts,bentic inverts,inv
benthic inverts,amphipod,amphipod,amp
benthic inverts,chironomid,chironomid,chr
benthic inverts,oligochaete,oligochaete,olg
benthic inverts,snail,snail,sna
dreissenids,dreissenids,zebra,mus_z
dreissenids,dreissenids,quagga,mus_q
dreissenids,dreissenids,dreissenids,mus
dreissenids,dreissenids,dreissenids_lg,musl
dreissenids,dreissenids,dreissenids_med,musm
dreissenids,dreissenids,dreissenids_sm,muss
benthic inverts,crayfish,crayfish,cra
benthic inverts,isopod,isopod,iso
benthic inverts,leech,leech,lee
benthic inverts,dipteran,dipteran,dip
benthic inverts,hydracarina,hydracarina,hyd
fishes,alewife,alewife plankton,AIP
fishes,alewife,alewife,ALE
fishes,alewife,alewife_lg,ALEl
fishes,alewife,alewife_sm,ALEs
fishes,bloater,bloater plankton,BIP
fishes,bloater,bloater,BLO
fishes,bloater,bloater_lg,BLOl
fishes,bloater,bloater_sm,BLOs
fishes,bloater,burbot,BUT
fishes,deepwater sculpin,deepwater sculpin plankton,DIP
fishes,deepwater sculpin,deepwater sculpin,DWS
fishes,lake trout,lake trout,LAT
fishes,lake whitefish,lake whitefish,LWF
fishes,rainbow smelt,rainbow smelt,RAS
fishes,round goby,round goby,ROG
fishes,slimy sculpin,slimy sculpin,SLS
fishes,slimy sculpin,slimy sculpin_lg,SMSl
fishes,slimy sculpin,slimy sculpin_sm,SMSs
fishes,spottail shiner,spottail shiner,SPS
fishes,white sucker,white sucker,WHS
fishes,yellow perch,yellow perch,YEP
fishes,chinook salmon,chinook salmon,CHS
fishes,rainbow trout,rainbow trout,RBT
fishes,coho salmon,coho salmon,COS
fishes,walleye,walleye,WAE
fishes,pks,pks,PKS
fishes,atlantic salmon,atlantic salmon,ATS
fishes,brown trout,brown trout,BNT
fishes,ninespine stickleback,ninespine stickleback,NSB
fishes,gizzard shad,gizzard shad,GZS
fishes,brook stickleback,brook stickleback,STS
fishes,mottled sculpin,mottled sculpin,msc
fishes,threespine stickleback,threespine stickleback,TSS
fishes,golden shiner,golden shiner,gsh
fishes,longnose sucker,longnose sucker,lns
fishes,round whitefish,round whitefish,rwf
fishes,lake chub,lake chub,lkc
fishes,freshwater drum,freshwater drum,fwd
fishes,shorthead redhorse,shorthead redhorse,srh
fishes,channel catfish,channel catfish,chc
fishes,brook silverside,brook silverside,bss
fishes,white perch,white perch,whp
fishes,smallmouth bass,smallmouth bass,smb
fishes,banded killifish,banded killifish,bkf
fishes,fathead minnow,fathead minnow,fhm
fishes,longnose dace,longnose dace,lnd