site_code_happel,site_code,port,lake_region
,,algoma,NW
5R,,arcadia,NE
,,atwater,SW
,,burns harbor,SW
3R,,calumet,SW
,,cardy's reef,NW
,,charlevoix,NE
,,clay banks,NW
2S,,dead river,SW
,,deep station,SE
,,door county,NW
,,east chicago,SW
,,east reef,SW
,,east shore of l michigan,SE
,,east shored of l michigan,SE
,,elk rapids,NE
1R,fp,fox point,SW
,,fox point offshore,SW
,,frankfort,NE
,,grand haven,SW
gc,,green can,SW
2R,hp,highland park,SW
,,holland,SE
,,kenosha,SW
,,kewaunee,NW
,,linnwood,
,,little traverse bay,NE
,,ludington,NE
,,manistee,NE
,,manitowoc,NW
,,mckinley marina,SW
3S,,michigan city,SE
,,midlake,SW
,,milwaukee,SW
,,milwaukee offshore,SW
,,milwaukee south,SW
4S,,muskegon,SE
,,n1,
,,n2,
,,n3,
,,nmf,
,,north manitou,NE
,,northeast reef,NE
,,pentwater,SE
,,port washington,SW
,,pyramid point,NE
,,racine,SW
4R,,saugatuck,SE
,,saugatuk,SE
,,sheboygan,SW
,,sheboygan nearshore,SW
,,sheboygan offshore,SW
we-reef,,sheboygan reef,SE
,,south haven,SE
,,south manitou 2,NW
,,st joseph,SE
6R,,sturgeon bay,NW
,,two rivers,NW
,,waukegan,SW
,,white,SE
1S,wfb,whitefish bay,SW
,,wind point,SW